OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__	30.76519831	2.91E-08	4.64E-07	3.29E-05	0.001184553	4.75E-05	0.001137004
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__	32.3341507	1.30E-08	2.33E-07	1.47E-05	0.001126016	0.000104902	0.001021114
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	49.81767682	1.69E-12	3.18E-10	1.91E-09	0.001111382	1.72E-05	0.001094225
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;Other	25.12539772	5.37E-07	5.14E-06	0.000607043	0.000949593	0.000216667	0.000732927
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	39.18905543	3.85E-10	1.89E-08	4.35E-07	0.000939024	6.86E-06	0.000932162
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;Other	25.52247962	4.37E-07	4.30E-06	0.000494102	0.000920325	4.26E-05	0.000877678
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__	25.61674872	4.16E-07	4.13E-06	0.000470543	0.000901626	0.00029951	0.000602116
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium	46.11921663	1.11E-11	1.26E-09	1.26E-08	0.000895935	0.000123039	0.000772896
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	35.14314579	3.06E-09	7.87E-08	3.46E-06	0.000878862	0.000844608	3.42539E-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	35.77136984	2.22E-09	6.12E-08	2.51E-06	0.000870732	1.18E-05	0.000858967
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other	30.59594196	3.18E-08	4.92E-07	3.59E-05	0.000852033	3.92E-06	0.000848111
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__	37.02511013	1.17E-09	3.88E-08	1.32E-06	0.00083252	0.000154902	0.000677618
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	34.51322129	4.23E-09	1.03E-07	4.78E-06	0.000818699	1.47E-05	0.000803993
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	42.89734463	5.77E-11	4.66E-09	6.52E-08	0.00080813	3.33E-05	0.000774797
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus	33.60028912	6.77E-09	1.40E-07	7.65E-06	0.000788618	7.35E-06	0.000781265
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	25.36705012	4.74E-07	4.62E-06	0.000535558	0.000772358	7.35E-06	0.000765005
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia	27.84130644	1.32E-07	1.55E-06	0.000148803	0.000726016	4.41E-05	0.000681899
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	27.36580926	1.68E-07	1.88E-06	0.000190272	0.000708943	4.90E-05	0.000659923
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	37.92757889	7.34E-10	2.68E-08	8.30E-07	0.00070813	2.84E-05	0.000679699
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Mycoplana	34.40203713	4.48E-09	1.06E-07	5.07E-06	0.000690244	3.63E-05	0.000653969
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium	36.23772948	1.75E-09	5.19E-08	1.97E-06	0.00068374	0.00012549	0.00055825
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	33.59273823	6.79E-09	1.40E-07	7.68E-06	0.000623577	1.27E-05	0.000610832
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__	38.27421414	6.15E-10	2.46E-08	6.95E-07	0.000620325	6.91E-05	0.000551208
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;Other;Other;Other	34.24840127	4.85E-09	1.11E-07	5.48E-06	0.000578862	4.41E-06	0.00057445
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	35.86797762	2.11E-09	5.97E-08	2.39E-06	0.00057561	1.81E-05	0.000557473
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia	39.55208892	3.19E-10	1.72E-08	3.61E-07	0.00057561	1.18E-05	0.000563845
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	34.48481499	4.30E-09	1.03E-07	4.85E-06	0.000569919	2.94E-06	0.000566978
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	29.02335174	7.15E-08	9.74E-07	8.08E-05	0.000566667	0.0011	-0.000533333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium	36.12748813	1.85E-09	5.36E-08	2.09E-06	0.00054878	0.000421569	0.000127212
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__	36.82184175	1.29E-09	4.18E-08	1.46E-06	0.000545528	2.84E-05	0.000517097
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia	41.71999663	1.05E-10	7.00E-09	1.19E-07	0.000526829	7.40E-05	0.00045281
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae;g__	32.99180187	9.25E-09	1.74E-07	1.05E-05	0.000513821	2.79E-05	0.00048588
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other	28.98649442	7.29E-08	9.80E-07	8.24E-05	0.000502439	1.42E-05	0.000488223
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia	31.20234562	2.32E-08	3.81E-07	2.63E-05	0.000501626	3.82E-05	0.000463391
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	38.46646758	5.57E-10	2.41E-08	6.29E-07	0.000499187	2.11E-05	0.000478109
Unassigned;Other;Other;Other;Other;Other	22.51548784	2.08E-06	1.68E-05	0.002355554	0.000492683	0.000111275	0.000381408
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia	30.7618755	2.92E-08	4.64E-07	3.30E-05	0.000489431	2.40E-05	0.000465411
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other;Other	31.47455474	2.02E-08	3.36E-07	2.28E-05	0.000476423	9.66E-05	0.000379854
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	37.8108409	7.79E-10	2.75E-08	8.81E-07	0.000474797	9.31E-06	0.000465483
