OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	42.1107327	8.62E-11	6.50E-09	9.75E-08	8.78E-05	0	8.78049E-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	23.18870127	1.47E-06	1.21E-05	0.001659491	8.54E-05	4.90E-07	8.48757E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__	32.30091264	1.32E-08	2.33E-07	1.49E-05	8.21E-05	7.35E-06	7.47609E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;g__	29.76676139	4.87E-08	7.06E-07	5.51E-05	8.05E-05	3.92E-06	7.65662E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Actinoplanes	21.78517953	3.05E-06	2.30E-05	0.003445897	7.97E-05	4.41E-06	7.5263E-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__	24.13933326	8.96E-07	7.97E-06	0.001012606	7.89E-05	0	7.88618E-05
k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__;f__;g__	25.96834251	3.47E-07	3.50E-06	0.00039218	7.24E-05	4.41E-06	6.7946E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	25.09034384	5.47E-07	5.15E-06	0.000618179	6.83E-05	4.90E-06	6.33907E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;Other	23.48583742	1.26E-06	1.05E-05	0.001421955	6.26E-05	2.55E-05	3.71114E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__	24.92897488	5.95E-07	5.55E-06	0.000672143	6.02E-05	9.80E-07	5.91822E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46;f__;g__	22.0682743	2.63E-06	2.05E-05	0.002973287	6.02E-05	0	6.01626E-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__	23.79387473	1.07E-06	9.33E-06	0.001211621	5.93E-05	1.96E-06	5.73888E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Terracoccus	21.82479763	2.99E-06	2.29E-05	0.003375473	5.85E-05	1.47E-06	5.7066E-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;Other	21.40751563	3.71E-06	2.74E-05	0.004195835	5.45E-05	1.52E-05	3.92755E-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus	28.40769435	9.83E-08	1.24E-06	0.00011105	5.45E-05	0	5.44715E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;Other	22.0641178	2.64E-06	2.05E-05	0.002979732	5.37E-05	0	5.36585E-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__	22.75836079	1.84E-06	1.49E-05	0.002075846	4.63E-05	4.41E-06	4.19297E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Arsenicicoccus	21.93155563	2.83E-06	2.19E-05	0.003192809	4.31E-05	1.47E-06	4.16188E-05
k__Bacteria;p__WPS-2;c__;o__;f__;g__	24.74186215	6.55E-07	6.07E-06	0.000740658	4.31E-05	9.80E-07	4.2109E-05
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];g__Fimbriimonas	24.5702942	7.16E-07	6.43E-06	0.00080962	2.68E-05	9.80E-07	2.58489E-05
