OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	15.7791755745	7.11816823748e-05	0.000275600872784	0.0107484340386	6.34146341463e-05	3.43137254902e-06
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi]	14.1450030365	0.000169246041909	0.000638903808208	0.0255561523283	7.31707317073e-05	2.45098039216e-06
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	13.5798100803	0.000228631366794	0.000823752962612	0.0345233363859	0.00049756097561	4.16666666667e-05
k__Bacteria;p__Acidobacteria;c__Solibacteres	13.5757752375	0.000229123340594	0.000823752962612	0.0345976244297	6.82926829268e-05	6.86274509804e-06
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	12.4147685563	0.000425951799905	0.00149578422757	0.0643187217856	2.60162601626e-05	9.80392156863e-07
k__Bacteria;p__Synergistetes;c__Synergistia	12.2769081111	0.000458597524596	0.00153936917007	0.0692482262141	1.21951219512e-05	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	12.2762779605	0.000458752401677	0.00153936917007	0.0692716126532	7.72357723577e-05	0.0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	11.9461395794	0.000547607264295	0.00179758036758	0.0826886969086	5.85365853659e-05	2.45098039216e-06
k__Bacteria;p__Actinobacteria;c__MB-A2-108	11.8543860004	0.000575256992353	0.00184816608181	0.0868638058452	2.35772357724e-05	1.96078431373e-06
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	11.1868055218	0.000823810534333	0.00259157063926	0.124395390684	0.000187804878049	2.69607843137e-05
k__Bacteria;p__Chloroflexi;c__C0119	11.1258579444	0.000851324891492	0.00262347058399	0.128550058615	4.22764227642e-05	4.90196078431e-07
k__Bacteria;p__Armatimonadetes;c__0319-6E2	11.0011367096	0.000910560266836	0.00274989200584	0.137494600292	1.21951219512e-05	4.90196078431e-07
k__Bacteria;p__Acidobacteria;c__Sva0725	10.8651047073	0.000979932106573	0.00290136760966	0.147969748093	1.9512195122e-05	9.80392156863e-07
k__Bacteria;p__Acidobacteria;c__iii1-8	10.520642229	0.00118048452107	0.00342794543619	0.178253162682	3.82113821138e-05	9.80392156863e-07
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	10.386631014	0.0012693101263	0.00361633639758	0.191665829072	4.63414634146e-05	2.45098039216e-06
k__Bacteria;p__Chloroflexi;c__Anaerolineae	10.0018455982	0.00156383422787	0.00437294385941	0.236138968408	5.52845528455e-05	7.8431372549e-06
k__Bacteria;p__Planctomycetes;c__vadinHA49	8.60859465738	0.00334580363901	0.00903074786215	0.50521634949	6.50406504065e-06	0.0
k__Bacteria;p__Proteobacteria;c__TA18	8.60677311809	0.00334915152504	0.00903074786215	0.505721880281	7.31707317073e-06	0.0
