OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales]	46.3032046543	1.01298142627e-11	2.34891345764e-09	3.21115112128e-09	0.000274796747967	6.86274509804e-06
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	45.5578516498	1.48196432659e-11	2.34891345764e-09	4.69782691529e-09	0.00114308943089	4.90196078431e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	43.0539064078	5.32521839567e-11	3.79502997727e-09	1.68809423143e-08	0.0160317073171	0.000707843137255
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales	42.9886332128	5.50588317076e-11	3.79502997727e-09	1.74536496513e-08	0.000708943089431	2.99019607843e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	42.8251213053	5.98585169916e-11	3.79502997727e-09	1.89751498863e-08	0.000229268292683	5.39215686275e-06
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	41.7387399372	1.04321321256e-10	5.5116431397e-09	3.30698588382e-08	0.00115609756098	0.000163725490196
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	38.9813636449	4.2787066197e-10	1.93764285492e-08	1.35634999845e-07	0.00570894308943	0.000434803921569
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	38.2796035712	6.13000277562e-10	2.42901359984e-08	1.94321087987e-07	0.00745609756098	5.53921568627e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	37.8177584419	7.76714997528e-10	2.53811997466e-08	2.46218654216e-07	0.000690243902439	2.35294117647e-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	37.7585050513	8.00668761721e-10	2.53811997466e-08	2.53811997466e-07	0.000311382113821	3.1862745098e-05
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	37.071011702	1.13904535243e-09	3.28252160656e-08	3.61077376722e-07	0.000379674796748	1.12745098039e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	36.1319817345	1.84395583495e-09	4.87111666399e-08	5.84533999679e-07	0.000936585365854	2.59803921569e-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	35.5682592606	2.46267771413e-09	5.56969093821e-08	7.8066883538e-07	0.00040243902439	1.47058823529e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	35.542217233	2.49582243952e-09	5.56969093821e-08	7.91175713327e-07	0.000580487804878	2.54901960784e-05
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	35.4361478266	2.63550044395e-09	5.56969093821e-08	8.35453640731e-07	0.00316991869919	0.0018318627451
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales	34.6329218372	3.98115988422e-09	7.88767302062e-08	1.2620276833e-06	0.00160406504065	0.000141666666667
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	34.2633202218	4.81369383865e-09	8.54268807248e-08	1.52594094685e-06	0.00237804878049	0.000332352941176
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;Other	34.2484012709	4.85073770677e-09	8.54268807248e-08	1.53768385305e-06	0.000578861788618	4.41176470588e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	34.0255957753	5.43918360587e-09	9.07484843715e-08	1.72422120306e-06	0.00147804878049	5.29411764706e-05
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	33.6424121624	6.62327358516e-09	1.04978886325e-07	2.0995777265e-06	0.000165040650407	2.45098039216e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	33.1983080498	8.32229140658e-09	1.2562697028e-07	2.63816637589e-06	0.000356097560976	3.13725490196e-05
